date,zone,category,priority,units_engaged
2025-08-19,Гамма,Техногенна аварія,Високий,2
2025-08-11,Омега,Наземний контакт,Середній,24
2025-08-11,Бета,Радіоелектронна боротьба,Критичний,38
2025-08-12,Альфа,Повітряна загроза,Середній,23
2025-08-24,Дельта,Техногенна аварія,Високий,20
2025-08-23,Дельта,Втрата постачання,Низький,3
2025-08-29,Дельта,Повітряна загроза,Середній,14
2025-08-29,Дельта,Техногенна аварія,Середній,22
2025-08-08,Альфа,Повітряна загроза,Середній,11
2025-08-19,Бета,Втрата постачання,Середній,33
2025-08-01,Гамма,Повітряна загроза,Критичний,31
2025-08-28,Гамма,Радіоелектронна боротьба,Низький,30
2025-08-18,Бета,Повітряна загроза,Низький,4
2025-08-23,Альфа,Техногенна аварія,Високий,24
2025-08-16,Дельта,Радіоелектронна боротьба,Високий,9
2025-08-03,Бета,Повітряна загроза,Середній,15
2025-08-25,Альфа,Повітряна загроза,Високий,20
2025-08-06,Омега,Наземний контакт,Високий,17
2025-08-12,Омега,Повітряна загроза,Низький,36
2025-08-10,Дельта,Повітряна загроза,Критичний,29
2025-08-07,Гамма,Техногенна аварія,Середній,27
2025-08-09,Гамма,Радіоелектронна боротьба,Середній,23
2025-08-05,Альфа,Втрата постачання,Середній,3
2025-08-09,Дельта,Втрата постачання,Низький,20
2025-08-15,Дельта,Повітряна загроза,Низький,27
2025-08-25,Бета,Техногенна аварія,Низький,34
2025-08-15,Омега,Наземний контакт,Низький,4
2025-08-03,Дельта,Повітряна загроза,Високий,39
2025-08-02,Гамма,Наземний контакт,Критичний,6
2025-08-05,Гамма,Радіоелектронна боротьба,Низький,25
2025-08-21,Дельта,Наземний контакт,Низький,17
2025-08-23,Бета,Радіоелектронна боротьба,Середній,16
2025-08-21,Дельта,Техногенна аварія,Критичний,10
2025-08-25,Дельта,Радіоелектронна боротьба,Середній,2
2025-08-28,Альфа,Повітряна загроза,Високий,2
2025-08-08,Дельта,Наземний контакт,Низький,14
2025-08-23,Альфа,Повітряна загроза,Середній,38
2025-08-13,Гамма,Повітряна загроза,Середній,36
2025-08-20,Омега,Повітряна загроза,Низький,3
2025-08-27,Дельта,Радіоелектронна боротьба,Низький,21
2025-08-05,Дельта,Наземний контакт,Високий,4
2025-08-11,Гамма,Повітряна загроза,Критичний,35
2025-08-01,Омега,Повітряна загроза,Середній,31
2025-08-03,Бета,Радіоелектронна боротьба,Середній,6
2025-08-06,Гамма,Наземний контакт,Високий,27
2025-08-15,Бета,Втрата постачання,Високий,36
2025-08-03,Альфа,Наземний контакт,Середній,2
2025-08-28,Омега,Радіоелектронна боротьба,Середній,29
2025-08-16,Дельта,Наземний контакт,Критичний,25
2025-08-13,Дельта,Радіоелектронна боротьба,Критичний,13
2025-08-07,Бета,Наземний контакт,Середній,13
2025-08-16,Дельта,Техногенна аварія,Високий,20
2025-08-29,Гамма,Техногенна аварія,Низький,22
2025-08-24,Гамма,Радіоелектронна боротьба,Високий,39
2025-08-11,Альфа,Повітряна загроза,Високий,39
2025-08-14,Бета,Наземний контакт,Високий,23
2025-08-23,Омега,Повітряна загроза,Високий,9
2025-08-05,Дельта,Втрата постачання,Критичний,10
2025-08-25,Дельта,Техногенна аварія,Середній,18
2025-08-25,Омега,Втрата постачання,Низький,17
2025-08-01,Омега,Втрата постачання,Високий,7
2025-08-06,Гамма,Повітряна загроза,Критичний,39
2025-08-28,Бета,Втрата постачання,Високий,36
2025-08-16,Бета,Наземний контакт,Низький,31
2025-08-17,Дельта,Повітряна загроза,Середній,30
2025-08-06,Гамма,Наземний контакт,Критичний,14
2025-08-28,Гамма,Повітряна загроза,Низький,31
2025-08-21,Гамма,Радіоелектронна боротьба,Критичний,9
2025-08-01,Гамма,Повітряна загроза,Критичний,30
2025-08-28,Альфа,Повітряна загроза,Середній,38
2025-08-03,Дельта,Радіоелектронна боротьба,Середній,32
2025-08-21,Гамма,Радіоелектронна боротьба,Низький,13
2025-08-07,Бета,Повітряна загроза,Середній,40
2025-08-22,Дельта,Втрата постачання,Низький,26
2025-08-03,Бета,Втрата постачання,Критичний,26
2025-08-12,Бета,Повітряна загроза,Середній,36
2025-08-06,Альфа,Наземний контакт,Середній,32
2025-08-07,Дельта,Наземний контакт,Високий,30
2025-08-10,Омега,Повітряна загроза,Критичний,29
2025-08-22,Бета,Наземний контакт,Високий,30
2025-08-22,Гамма,Наземний контакт,Високий,8
2025-08-10,Дельта,Радіоелектронна боротьба,Низький,33
2025-08-02,Омега,Повітряна загроза,Середній,34
2025-08-04,Альфа,Наземний контакт,Високий,10
2025-08-24,Дельта,Радіоелектронна боротьба,Середній,36
2025-08-10,Гамма,Радіоелектронна боротьба,Низький,28
2025-08-05,Альфа,Втрата постачання,Високий,7
2025-08-24,Бета,Наземний контакт,Низький,24
2025-08-27,Омега,Повітряна загроза,Критичний,16
2025-08-27,Гамма,Повітряна загроза,Критичний,33
2025-08-23,Гамма,Повітряна загроза,Середній,29
2025-08-11,Альфа,Повітряна загроза,Низький,23
2025-08-15,Бета,Наземний контакт,Високий,12
2025-08-27,Гамма,Повітряна загроза,Критичний,36
2025-08-30,Гамма,Радіоелектронна боротьба,Критичний,21
2025-08-21,Бета,Втрата постачання,Низький,11
2025-08-30,Альфа,Наземний контакт,Низький,8
2025-08-25,Бета,Наземний контакт,Середній,35
2025-08-06,Бета,Повітряна загроза,Низький,2
2025-08-03,Гамма,Втрата постачання,Високий,14
2025-08-17,Бета,Техногенна аварія,Середній,18
2025-08-27,Гамма,Втрата постачання,Середній,15
2025-08-19,Альфа,Радіоелектронна боротьба,Високий,2
2025-08-20,Бета,Повітряна загроза,Середній,11
2025-08-22,Альфа,Наземний контакт,Низький,29
2025-08-01,Альфа,Наземний контакт,Низький,32
2025-08-12,Дельта,Наземний контакт,Середній,3
2025-08-24,Гамма,Наземний контакт,Низький,23
2025-08-18,Альфа,Втрата постачання,Низький,2
2025-08-19,Альфа,Радіоелектронна боротьба,Високий,10
2025-08-15,Бета,Повітряна загроза,Критичний,10
2025-08-05,Бета,Радіоелектронна боротьба,Середній,20
2025-08-16,Дельта,Повітряна загроза,Високий,9
2025-08-11,Дельта,Радіоелектронна боротьба,Високий,8
2025-08-21,Дельта,Втрата постачання,Критичний,9
2025-08-07,Омега,Повітряна загроза,Низький,30
2025-08-29,Альфа,Повітряна загроза,Низький,18
2025-08-05,Омега,Повітряна загроза,Критичний,16
