Дата: 2025-06-01 | Напрямок: Північ | Втрати: 137
Дата: 2025-06-02 | Напрямок: Південь | Втрати: 63
Дата: 2025-06-03 | Напрямок: Північ | Втрати: 131
Дата: 2025-06-04 | Напрямок: Південь | Втрати: 147
Дата: 2025-06-05 | Напрямок: Схід | Втрати: 80
Дата: 2025-06-06 | Напрямок: Захід | Втрати: 53
Дата: 2025-06-07 | Напрямок: Схід | Втрати: 93
Дата: 2025-06-08 | Напрямок: Північ | Втрати: 140
Дата: 2025-06-09 | Напрямок: Схід | Втрати: 106
Дата: 2025-06-10 | Напрямок: Схід | Втрати: 116
Дата: 2025-06-11 | Напрямок: Північ | Втрати: 127
Дата: 2025-06-12 | Напрямок: Північ | Втрати: 150
Дата: 2025-06-13 | Напрямок: Південь | Втрати: 91
Дата: 2025-06-14 | Напрямок: Захід | Втрати: 85
Дата: 2025-06-15 | Напрямок: Схід | Втрати: 154
Дата: 2025-06-16 | Напрямок: Захід | Втрати: 113
Дата: 2025-06-17 | Напрямок: Захід | Втрати: 65
Дата: 2025-06-18 | Напрямок: Південь | Втрати: 110
Дата: 2025-06-19 | Напрямок: Південь | Втрати: 94
Дата: 2025-06-20 | Напрямок: Захід | Втрати: 169
Дата: 2025-06-21 | Напрямок: Північ | Втрати: 143
Дата: 2025-06-22 | Напрямок: Південь | Втрати: 177
Дата: 2025-06-23 | Напрямок: Північ | Втрати: 154
Дата: 2025-06-24 | Напрямок: Захід | Втрати: 116
Дата: 2025-06-25 | Напрямок: Південь | Втрати: 77
Дата: 2025-06-26 | Напрямок: Схід | Втрати: 80
Дата: 2025-06-27 | Напрямок: Північ | Втрати: 144
Дата: 2025-06-28 | Напрямок: Схід | Втрати: 103
Дата: 2025-06-29 | Напрямок: Захід | Втрати: 150
Дата: 2025-06-30 | Напрямок: Північ | Втрати: 69
Дата: 2025-07-01 | Напрямок: Південь | Втрати: 71
Дата: 2025-07-02 | Напрямок: Південь | Втрати: 116
Дата: 2025-07-03 | Напрямок: Захід | Втрати: 160
Дата: 2025-07-04 | Напрямок: Захід | Втрати: 127
Дата: 2025-07-05 | Напрямок: Південь | Втрати: 137
Дата: 2025-07-06 | Напрямок: Північ | Втрати: 104
Дата: 2025-07-07 | Напрямок: Південь | Втрати: 142
Дата: 2025-07-08 | Напрямок: Захід | Втрати: 97
Дата: 2025-07-09 | Напрямок: Південь | Втрати: 130
Дата: 2025-07-10 | Напрямок: Південь | Втрати: 64
Дата: 2025-07-11 | Напрямок: Північ | Втрати: 53
Дата: 2025-07-12 | Напрямок: Захід | Втрати: 86
Дата: 2025-07-13 | Напрямок: Схід | Втрати: 61
Дата: 2025-07-14 | Напрямок: Схід | Втрати: 150
Дата: 2025-07-15 | Напрямок: Південь | Втрати: 174
Дата: 2025-07-16 | Напрямок: Південь | Втрати: 158
Дата: 2025-07-17 | Напрямок: Схід | Втрати: 170
Дата: 2025-07-18 | Напрямок: Північ | Втрати: 82
Дата: 2025-07-19 | Напрямок: Схід | Втрати: 71
Дата: 2025-07-20 | Напрямок: Захід | Втрати: 140
